owner,dest,next_hop,hop_count,seq_num,age_s
0,0,0,0,0,120.0
0,3,3,1,16,1.0
0,5,16,2,16,1.0
0,8,8,1,16,1.0
0,9,27,2,16,1.0
0,10,3,2,16,1.0
0,11,11,1,16,1.0
0,13,13,1,16,3.0
0,16,16,1,16,3.0
0,21,21,1,16,1.0
0,22,67,2,16,4.0
0,23,67,2,16,4.0
0,25,27,2,16,1.0
0,27,27,1,16,2.0
0,28,16,2,16,4.0
0,35,27,2,16,1.0
0,38,27,2,16,1.0
0,39,66,2,16,4.0
0,49,49,1,16,1.0
0,51,68,2,16,4.0
0,54,68,2,14,4.0
0,56,56,1,16,2.0
0,59,56,2,16,3.0
0,62,11,2,16,4.0
0,65,56,2,14,6.0
0,66,66,1,16,4.0
0,67,67,1,16,4.0
0,68,68,1,16,1.0
