owner,dest,next_hop,hop_count,seq_num,age_s
0,0,0,0,0,120.0
0,3,3,1,16,6.0
0,5,3,2,16,5.0
0,8,8,1,16,1.0
0,9,96,2,16,5.0
0,10,73,2,16,1.0
0,11,11,1,16,5.0
0,13,13,1,16,1.0
0,16,16,1,16,4.0
0,21,21,1,16,1.0
0,22,67,2,14,6.0
0,25,96,2,16,5.0
0,26,96,2,16,5.0
0,27,27,1,16,5.0
0,35,27,2,14,5.0
0,38,3,2,16,1.0
0,39,76,2,16,2.0
0,49,49,1,16,1.0
0,51,66,2,16,2.0
0,54,66,2,14,2.0
0,56,56,1,16,2.0
0,59,3,2,16,1.0
0,62,56,2,16,2.0
0,66,66,1,16,2.0
0,67,67,1,16,2.0
0,68,68,1,16,1.0
0,72,56,2,16,2.0
0,73,73,1,16,4.0
0,76,76,1,16,1.0
0,77,96,2,14,5.0
0,80,80,1,16,1.0
0,96,96,1,16,6.0
0,98,96,2,14,5.0
0,99,3,2,16,1.0
