t,pdr,avg_latency_s,avg_hops,hello_packets,update_packets,route_changes,data_packets,data_delivered,data_dropped
0.0,0.0,0.0,0.0,0,0,0,0,0,0
1.0,0.0,0.0,0.0,0,0,0,0,0,0
2.0,0.0,0.0,0.0,0,0,0,0,0,0
3.0,0.0,0.0,0.0,0,0,0,0,0,0
4.0,0.0,0.0,0.0,0,0,0,0,0,0
5.0,0.0,0.0,0.0,2,0,0,0,0,0
6.0,0.0,0.0,0.0,23,0,12,0,0,0
7.0,0.0,0.0,0.0,37,6,85,0,0,0
8.0,0.0,0.0,0.0,60,18,151,0,0,0
9.0,0.0,0.0,0.0,76,37,236,0,0,0
10.0,0.0,0.0,0.0,84,46,318,0,0,0
11.0,0.0,0.0,0.0,92,59,351,0,0,0
12.0,0.0,0.0,0.0,100,74,381,0,0,0
13.0,0.0,0.0,0.0,100,74,408,0,0,0
14.0,0.0,0.0,0.0,100,74,408,0,0,0
15.0,0.0,0.0,0.0,100,74,408,0,0,0
16.0,0.0,0.0,0.0,100,74,408,0,0,0
17.0,0.0,0.0,0.0,100,74,408,0,0,0
18.0,0.0,0.0,0.0,100,74,408,0,0,0
19.0,0.0,0.0,0.0,105,77,408,0,0,0
20.0,0.0,0.0,0.0,110,85,416,0,0,0
21.0,0.0,0.0,0.0,128,92,444,0,0,0
22.0,0.0,0.0,0.0,150,101,471,0,0,0
23.0,0.0,0.0,0.0,163,110,542,0,0,0
24.0,0.0,0.0,0.0,177,119,581,0,0,0
25.0,0.0,0.0,0.0,185,131,600,0,0,0
26.0,0.0,0.0,0.0,187,147,687,0,0,0
27.0,0.0,0.0,0.0,196,154,737,0,0,0
28.0,0.0,0.0,0.0,200,163,759,0,0,0
29.0,0.0,0.0,0.0,200,166,868,0,0,0
30.0,0.0,0.0,0.0,200,166,902,0,0,0
31.0,0.0,0.0,0.0,200,166,902,0,0,0
32.0,0.0,0.0,0.0,200,167,902,0,0,0
33.0,0.0,0.0,0.0,202,170,904,0,0,0
34.0,0.0,0.0,0.0,209,175,904,0,0,0
35.0,0.0,0.0,0.0,224,180,916,0,0,0
36.0,0.0,0.0,0.0,239,188,1014,0,0,0
37.0,0.0,0.0,0.0,252,195,1038,0,0,0
38.0,0.0,0.0,0.0,267,206,1052,0,0,0
39.0,0.0,0.0,0.0,275,217,1165,0,0,0
40.0,0.0,0.0,0.0,282,226,1206,0,0,0
41.0,0.0,0.0,0.0,295,236,1281,0,0,0
42.0,0.0,0.0,0.0,296,243,1385,0,0,0
43.0,0.0,0.0,0.0,299,253,1422,0,0,0
44.0,0.0,0.0,0.0,299,256,1589,0,0,0
45.0,0.0,0.0,0.0,300,258,1617,0,0,0
46.0,0.0,0.0,0.0,301,260,1619,4,0,0
47.0,80.0,0.0,1.0,303,262,1626,5,4,0
48.0,55.555556,2.0,1.0,308,263,1627,9,5,0
49.0,75.0,2.0,1.0,322,268,1628,12,9,0
50.0,68.75,2.0,1.0,334,272,1650,16,11,0
51.0,83.333333,2.0,1.0,346,283,1743,18,15,0
52.0,81.818182,2.0,1.111111,363,285,1797,22,18,0
53.0,91.666667,2.0,1.090909,372,299,1836,24,22,1
54.0,88.888889,2.0,1.083333,383,302,1935,27,24,1
55.0,93.103448,2.0,1.074074,390,308,1992,29,27,1
56.0,90.625,2.0,1.068966,396,317,2039,32,29,1
57.0,94.117647,2.0,1.0625,397,324,2092,34,32,1
58.0,91.891892,2.0,1.058824,398,329,2232,37,34,1
59.0,94.871795,2.0,1.054054,399,334,2237,39,37,1
60.0,92.857143,2.0,1.051282,399,339,2248,42,39,1
61.0,95.454545,2.0,1.047619,403,342,2251,44,42,1
62.0,93.617021,2.0,1.045455,407,343,2267,47,44,1
63.0,95.918367,2.0,1.042553,417,346,2278,49,47,1
64.0,94.230769,2.0,1.040816,428,353,2285,52,49,1
65.0,96.296296,2.0,1.038462,439,358,2299,54,52,1
66.0,93.103448,2.0,1.037037,453,362,2314,58,54,1
67.0,96.666667,2.0,1.034483,468,368,2337,60,58,1
68.0,93.75,2.0,1.033333,476,376,2437,64,60,1
69.0,96.969697,2.0,1.03125,480,387,2439,66,64,1
70.0,94.285714,2.0,1.030303,489,397,2572,70,66,1
71.0,97.222222,2.0,1.028571,493,402,2719,72,70,1
72.0,94.736842,2.0,1.027778,497,412,2746,76,72,1
73.0,97.435897,2.0,1.026316,498,414,2899,78,76,1
74.0,95.121951,2.0,1.025641,499,417,2899,82,78,1
75.0,95.348837,2.0,1.02439,502,420,2956,86,82,1
76.0,93.333333,2.0,1.02381,507,424,2956,90,84,1
77.0,95.652174,2.0,1.022727,514,428,2956,92,88,1
78.0,95.833333,2.0,1.065217,524,430,2964,96,92,1
79.0,96.0,2.0,1.0625,531,437,2964,100,96,3
80.0,94.230769,2.0,1.061224,546,443,3010,104,98,3
81.0,94.444444,2.082474,1.058824,556,445,3052,108,102,3
82.0,98.181818,2.079208,1.092593,567,451,3084,110,108,3
83.0,96.491228,2.07619,1.090909,575,461,3218,114,110,5
84.0,96.610169,2.074766,1.087719,583,469,3298,118,114,5
85.0,95.081967,2.141593,1.086207,590,479,3324,122,116,5
86.0,96.774194,2.13913,1.083333,592,489,3385,124,120,5
